0,1,2,3,4,5,6
ENGINE,LOWER,PROPER,DIGITS,CHASSIS,COLOR,PLACE OF DELIVERY
RSPDL150GH00188,rspdl150gh00188,Rspdl150Gh00188,00188,RSPDL150GH00188,BLACK,TUNASAN C/O: BIÑAN
RSPDL150GH00189,rspdl150gh00189,Rspdl150Gh00189,00189,RSPDL150GH00189,BLACK,CAUAYAN
RSPDL150GH00190,rspdl150gh00190,Rspdl150Gh00190,00190,RSPDL150GH00190,BLACK,CAUAYAN
RSPDL150GH00191,rspdl150gh00191,Rspdl150Gh00191,00191,RSPDL150GH00191,BLACK,BIÑAN
RSPDL150GH00192,rspdl150gh00192,Rspdl150Gh00192,00192,RSPDL150GH00192,BLACK,LABO 
RSPDL150GH00193,rspdl150gh00193,Rspdl150Gh00193,00193,RSPDL150GH00193,BLACK,MEYCAUAYAN
RSPDL150GH00194,rspdl150gh00194,Rspdl150Gh00194,00194,RSPDL150GH00194,BLACK,DAET
RSPDL150GH00195,rspdl150gh00195,Rspdl150Gh00195,00195,RSPDL150GH00195,BLACK,MEYCAUAYAN
RSPDL150GH00196,rspdl150gh00196,Rspdl150Gh00196,00196,RSPDL150GH00196,BLACK,MEYCAUAYAN
RSPDL150GH00197,rspdl150gh00197,Rspdl150Gh00197,00197,RSPDL150GH00197,BLACK,DAET
RSPDL150GH00198,rspdl150gh00198,Rspdl150Gh00198,00198,RSPDL150GH00198,BLACK,MEYCAUAYAN
RSPDL150GH00199,rspdl150gh00199,Rspdl150Gh00199,00199,RSPDL150GH00199,BLACK,NAGA
RSPDL150GH00200,rspdl150gh00200,Rspdl150Gh00200,00200,RSPDL150GH00200,BLACK,CAUAYAN
RSPDL150GH00201,rspdl150gh00201,Rspdl150Gh00201,00201,RSPDL150GH00201,BLACK,BACOOR
RSPDL150GH00202,rspdl150gh00202,Rspdl150Gh00202,00202,RSPDL150GH00202,BLACK,MEYCAUAYAN
RSPDL150GH00203,rspdl150gh00203,Rspdl150Gh00203,00203,RSPDL150GH00203,BLACK,BACOOR
RSPDL150GH00204,rspdl150gh00204,Rspdl150Gh00204,00204,RSPDL150GH00204,BLACK,LABO 
RSPDL150GH00205,rspdl150gh00205,Rspdl150Gh00205,00205,RSPDL150GH00205,BLACK,NAGA
RSPDL150GH00206,rspdl150gh00206,Rspdl150Gh00206,00206,RSPDL150GH00206,BLACK,BACOOR
RSPDL150GH00207,rspdl150gh00207,Rspdl150Gh00207,00207,RSPDL150GH00207,BLACK,CAUAYAN
RSPDL150GH00208,rspdl150gh00208,Rspdl150Gh00208,00208,RSPDL150GH00208,BLACK,NAGA
RSPDL150GH00209,rspdl150gh00209,Rspdl150Gh00209,00209,RSPDL150GH00209,BLACK,MEYCAUAYAN
RSPDL150GH00210,rspdl150gh00210,Rspdl150Gh00210,00210,RSPDL150GH00210,BLACK,TUNASAN C/O: BIÑAN
RSPDL150GH00211,rspdl150gh00211,Rspdl150Gh00211,00211,RSPDL150GH00211,BLACK,MEYCAUAYAN
RSPDL150GH00212,rspdl150gh00212,Rspdl150Gh00212,00212,RSPDL150GH00212,BLACK,CAUAYAN
RSPDL150GH00213,rspdl150gh00213,Rspdl150Gh00213,00213,RSPDL150GH00213,BLACK,BACOOR
RSPDL150GH00214,rspdl150gh00214,Rspdl150Gh00214,00214,RSPDL150GH00214,BLACK,LABO C/: DAET
RSPDL150GH00215,rspdl150gh00215,Rspdl150Gh00215,00215,RSPDL150GH00215,BLACK,MEYCAUAYAN
RSPDL150GH00216,rspdl150gh00216,Rspdl150Gh00216,00216,RSPDL150GH00216,BLACK,NAGA
RSPDL150GH00217,rspdl150gh00217,Rspdl150Gh00217,00217,RSPDL150GH00217,BLACK,MEYCAUAYAN
RSPDL150GH00218,rspdl150gh00218,Rspdl150Gh00218,00218,RSPDL150GH00218,BLACK,BACOOR
RSPDL150GH00219,rspdl150gh00219,Rspdl150Gh00219,00219,RSPDL150GH00219,BLACK,TONDO
RSPDL150GH00220,rspdl150gh00220,Rspdl150Gh00220,00220,RSPDL150GH00220,BLACK,BIÑAN
RSPDL150GH00221,rspdl150gh00221,Rspdl150Gh00221,00221,RSPDL150GH00221,BLACK,BACOOR
RSPDL150GH00222,rspdl150gh00222,Rspdl150Gh00222,00222,RSPDL150GH00222,BLACK,MEYCAUAYAN
RSPDL150GH00223,rspdl150gh00223,Rspdl150Gh00223,00223,RSPDL150GH00223,BLACK,STO.TOMAS
RSPDL150GH00224,rspdl150gh00224,Rspdl150Gh00224,00224,RSPDL150GH00224,BLACK,CAUAYAN
RSPDL150GH00225,rspdl150gh00225,Rspdl150Gh00225,00225,RSPDL150GH00225,BLACK,TUNASAN C/O: BIÑAN
RSPDL150GH00226,rspdl150gh00226,Rspdl150Gh00226,00226,RSPDL150GH00226,BLACK,TONDO
